SerialNumber,y_debt,PC1_score_raw,PC1_score_oriented,PC2_score_raw,PC2_score_oriented,PC3_score_raw,PC3_score_oriented,PC4_score_raw,PC4_score_oriented
121,0,-3.422141709765261,-3.422141709765261,-1.796919363742529,1.796919363742529,4.150770649786566,-4.150770649786566,3.4018139373126934,-3.4018139373126934
122,0,-6.937882598250337,-6.937882598250337,1.0782596452287547,-1.0782596452287547,-3.083338105294077,3.083338105294077,-2.0052817942428574,2.0052817942428574
123,0,-3.045932793376791,-3.045932793376791,0.6832098283108946,-0.6832098283108946,-4.7453044049605335,4.7453044049605335,6.000507008821012,-6.000507008821012
124,1,2.641230657837272,2.641230657837272,-0.6368033619816111,0.6368033619816111,2.366636295696787,-2.366636295696787,-4.908744907567466,4.908744907567466
125,0,-4.778286584352763,-4.778286584352763,-1.580773284439266,1.580773284439266,-4.549009276897753,4.549009276897753,-2.4572475606132524,2.4572475606132524
126,0,-7.895296688688872,-7.895296688688872,2.3117072753281804,-2.3117072753281804,-5.405524889140122,5.405524889140122,-1.4260601777023902,1.4260601777023902
127,1,0.9219610024225223,0.9219610024225223,-3.540795098392779,3.540795098392779,-3.938485276832008,3.938485276832008,-5.785487547216942,5.785487547216942
128,0,-7.408172189881855,-7.408172189881855,1.7794422371132446,-1.7794422371132446,-3.249627256626511,3.249627256626511,-2.2062669067611815,2.2062669067611815
129,0,-4.28023152692382,-4.28023152692382,-2.1834076159830387,2.1834076159830387,-1.8970245960032626,1.8970245960032626,-3.3090133310212604,3.3090133310212604
130,1,10.527997315991083,10.527997315991083,7.538590675073641,-7.538590675073641,-3.253619135718431,3.253619135718431,1.5228696848127627,-1.5228696848127627
131,0,-0.3139817121847589,-0.3139817121847589,-1.8754658415546244,1.8754658415546244,-2.190102698087707,2.190102698087707,-6.9595251948008094,6.9595251948008094
132,0,-7.199912799485414,-7.199912799485414,4.98056075679741,-4.98056075679741,3.561397770390547,-3.561397770390547,3.5704688756969554,-3.5704688756969554
133,0,-4.874637108358021,-4.874637108358021,-0.1260097686633308,0.1260097686633308,4.991210430361203,-4.991210430361203,1.8034934070685738,-1.8034934070685738
134,0,5.794910447826801,5.794910447826801,-7.178317237972201,7.178317237972201,4.250053680206272,-4.250053680206272,-4.096415401510859,4.096415401510859
135,1,-4.115483686433714,-4.115483686433714,-2.122869129472684,2.122869129472684,-1.5409540112591489,1.5409540112591489,-5.589804473347895,5.589804473347895
136,0,-5.3464783346159095,-5.3464783346159095,-1.6620477166658665,1.6620477166658665,-1.524341177741988,1.524341177741988,-4.097606679192144,4.097606679192144
137,0,-2.8869532054141662,-2.8869532054141662,0.3898135837228851,-0.3898135837228851,1.2585693114739314,-1.2585693114739314,0.3412491777383962,-0.3412491777383962
138,0,6.273954191196717,6.273954191196717,-4.608197178633361,4.608197178633361,2.981833989430765,-2.981833989430765,-5.439781949067184,5.439781949067184
139,0,-2.946806312658148,-2.946806312658148,-2.9797534135220074,2.9797534135220074,5.808815146488223,-5.808815146488223,-1.2291571960553453,1.2291571960553453
140,0,-5.363163274833671,-5.363163274833671,3.448081773783209,-3.448081773783209,2.514191736709083,-2.514191736709083,4.553889333801791,-4.553889333801791
141,0,0.8552083644148375,0.8552083644148375,-2.6292854161760664,2.6292854161760664,-4.694508213024465,4.694508213024465,1.4403032128360382,-1.4403032128360382
142,0,-3.227946944178938,-3.227946944178938,-0.5642663026302565,0.5642663026302565,-2.738651859332403,2.738651859332403,-2.9030927531816255,2.9030927531816255
143,0,-5.293889180518782,-5.293889180518782,2.8932349996803315,-2.8932349996803315,2.578721396549745,-2.578721396549745,1.8641926581049457,-1.8641926581049457
146,0,-5.89507366338036,-5.89507366338036,-1.7840439196092082,1.7840439196092082,-2.4064381227784937,2.4064381227784937,-2.5173432099177444,2.5173432099177444
147,0,4.664815888935959,4.664815888935959,-6.103994584399761,6.103994584399761,4.92257305610619,-4.92257305610619,0.5375504121922067,-0.5375504121922067
148,0,3.58074322159835,3.58074322159835,8.41661125944129,-8.41661125944129,0.4073411180182396,-0.4073411180182396,1.5143558376935606,-1.5143558376935606
